Produit;Quantit‚;Prix d'achat;Prix de vente;Unit‚
Gobelet Deto;0;124,8287671;125;unit‚
Gobelet Ocean 0.25l;48;50;54,1667;unit‚
Gobelet Ocean 0.4l;226;62,5;70,84;unit‚
Gobelet Ocean 1l;559;112,5;125;unit‚
Gobelet Tayba;27;146;150;unit‚
Gobelet top 0.8l;41;300;350;unit‚
Grattoir Grand ;84;225;250;unit‚
Grattoir TIP;455;100;150;unit‚
Grattoire Petit ;220;120,834;150;unit‚
Idanse 36+couv;19;625;750;unit‚
Industriel 10l;103;1000;1350;unit‚
Industriel 5l;278;550;700;unit‚
Jetable 4;9;2700;4000;unit‚
Jetable 5;0;3200;5000;unit‚
KB02;0;40;50;unit‚
KB04;21;75;100;unit‚
KL02;10;350;400;unit‚
Kalifa grand ;175;408,33334;500;unit‚
LP02;0;125;150;unit‚
LP12;6;1500;1750;unit‚
LP15;0;3500;4000;unit‚
LP3;0;150;250;unit‚
LP4;23;175;200;unit‚
LP5;63;200;250;unit‚
LP6;0;250;450;unit‚
Legume 15;79;50;75;unit‚
Legume 1622;0;633;700;unit‚
Legume 30cm;6;250;300;unit‚
Legume 35cm;212;368,87;450;unit‚
Louche 18;456;37,5;41,67;unit‚
Louche BB;345;91,67;125;unit‚
Louche Grand Allplast ;4314;44,1667;46,67;unit‚
Louche Italplast ;148;30;41,67;unit‚
Louche PM Allplast ;3523,66;27,5;41,67;unit‚
Mademoiselle Grand ;0;625;750;unit‚
Mademoiselle Moyen;27;505;600;unit‚
Mademoiselle Petit;32;250;300;unit‚
Mamiwatta 20;535;104,166666;125;unit‚
Mamiwatta 24;890;145,8333333;166,667;unit‚
Marina GM;24;437,5;500;unit‚
Marina PM;97;287,5;400;unit‚
Marinar 25l;7;1750;2300;unit‚
Marinar 33l;15;2000;2500;unit‚
Matelas Grand ;10;2100;2250;unit‚
Matelas Moyen;5;1580;1700;unit‚
Matelas Petit ;0;1100;1200;unit‚
Merry Berry 16;233;143;175;unit‚
Mimi 3l;113;454;500;unit‚
Mini Panier;53;700;750;unit‚
Moustiquaire Grand ;17;2250;2500;unit‚
Moustiquaire Parapluie ;0;1100;1300;unit‚
Moustiquaire Petit;15;1833,34;2250;unit‚
Moustiquaire+Matelas;6;5500;6500;unit‚
NouNou;40;350;450;unit‚
Oreiller Grand;1;2200;2500;unit‚
Oreiller Petit;1;1500;1700;unit‚
POT SAUCE CARRE;218;125;150;
POT SAUCE ROND;50;200;250;
POT YAOURT 300Ml;1098;41,66;50;
Panier A linge TP;3;1900;2250;unit‚
Panier Bb Tp;266;1090,566038;1200;unit‚
Panier Bruxelle;7;1800;2000;unit‚
Panier Choco ;217;750;850;unit‚
Panier Classic Grand ;35;750;850;unit‚
Panier Deluxe;3;2000;2250;unit‚
Panier Kaba;50;937,5;1000;unit‚
Panier Kongo;14;700;850;unit‚
Panier Lcho;7;850;1100;unit‚
Panier Mamichow ;75;750;850;unit‚
Panier March‚ TP;2;825;900;unit‚
Panier Menage;9;1600;1800;unit‚
Panier Plastica;10;958,34;1100;unit‚
Panier Press;13;1100;1500;unit‚
Panier Roi;12;1600;2000;unit‚
Panier Rose;43;854,1667;1000;unit‚
Panier Sp‚cial ;7;1210;1300;unit‚
Panier XGL801;6;1700;1900;unit‚
Panier c?ur ;401;1100;1200;unit‚
Panier kikou;46;1400;1500;piŠces
Panier … linge TIP;13;1700;2250;unit‚
Pari Grand ;25;1916,67;2250;unit‚
Pari Petit ;58;1666,67;1800;unit‚
Passion 0.25l;3383;47,5;54,17;unit‚
Passion 0.5l;5200;55;70,8334;unit‚
Passion 0.75l;2526;83,34;91,67;unit‚
Passion 1l;2245;108,34;125;unit‚
Passoire Choco;82;197,91;275;unit‚
Passoire Choco TIP;560;187,5;275;unit‚
Passoire Etoile;315;100;150;unit‚
Passoire Fruits ;0;166;200;unit‚
Passoire N20;341;131,38;175;unit‚
Passoire N25;81;220;275;unit‚
Passoire PM;879;83,34;125;unit‚
Passoire fleur ;107;200;400;unit‚
Pelle A farine;33;212;250;unit‚
Pelle Flilas Grand;14;170;250;unit‚
Pelle Omini;622;120;150;unit‚
Pelle Papillon ;58;175;200;unit‚
Pelle Tp;11;208;250;unit‚
Pelle Yakro;399;108,334;200;unit‚
Pharma 500ml;2;6000;8000;unit‚
Plateau Espagne ;8;300;400;unit‚
Plateau Garba 34;36;137,5;250;unit‚
Plateau Garba 42;0;208,33;350;unit‚
Plateau Visiteur ;9;350;400;unit‚
Poire N10;117;625;750;unit‚
Poire N12;102;720,58;900;unit‚
Poire N2;128;250;300;unit‚
Poire N4;140;352,94;400;unit‚
Poire N6;124;441,17;500;unit‚
Poire N8;78;477,94;600;unit‚
Pot 90ml;1048;49,5;62,5;unit‚
Pot Yaourt 0.3l;1184;48,33;67;unit‚
Poubelle 100l Italplast ;8;5445;6500;unit‚
Poubelle 100l Okplast ;0;5683,34;6500;unit‚
Poubelle 200l;3;10000;13500;unit‚
Poubelle 40l;44;1250;1500;unit‚
Poubelle 60l;2;2000;3000;unit‚
Prestige 15l;127;600;700;unit‚
Prestige 6l;403;250;300;unit‚
Queen 15l;13;465;600;unit‚
RANGEMENT 9L;90;979,1667;1250;unit‚
Range vaiselle;22;2250;2500;unit‚
Rangement 18L;28;1468,75;1900;unit‚
Rangement 19l TP;0;1841,176471;1900;unit‚
Rangement 27L;15;1958,334;2500;unit‚
Rangement 27l TP;7;2083,34;2500;unit‚
Rangement 50l ;5;3375;4000;unit‚
Roulette Grand 135;2;13000;14500;unit‚
Roulette Petit 85;3;8000;9000;unit‚
Royal 1l;736;229,17;250;unit‚
Royal 3l;89;395,84;450;unit‚
Royal 5l;111;575;700;unit‚
SNH 35l;0;3500;4000;unit‚
ST05 20l;11;1250;1400;unit‚
ST12 5l;0;500;750;unit‚
ST15;4;1200;1300;unit‚
ST16 1l;8;250;300;unit‚
ST17 2l;2;350;425;unit‚
ST18 3l;1;400;500;unit‚
ST19 7l;2;700;800;unit‚
Sabil 2l;4;290;350;unit‚
Safari 35l ;2;1200;1500;unit‚
Salade 500ml;6;3483,334;4000;unit‚
Sally Moyen ;52;300;300;unit‚
Sally Petit ;172;225;250;unit‚
Sara Grand ;80;242;300;unit‚
Sara Moyen ;312;163,36;200;unit‚
Sara Petit;707;108,9;150;unit‚
Sauce Grand;173;424;450;unit‚
Sauce Moyen;222;245,04;275;unit‚
Sauce Petit ;578;181,5;200;unit‚
Seau 20l STAR ;200;850;950;unit‚
Seau 6l TP;90;312,5;400;unit‚
Seau Bico 30l;6;1800;2000;unit‚
Seau Industriel 0.5l;639;137,5;175;unit‚
Seau Macon ;55;425;500;unit‚
Seau Mama 10l;23;300;350;unit‚
Seau Mama 20l;42;570;700;unit‚
Seau Mama 5l;139;174;250;unit‚
Seau Novelas;426;729,17;900;unit‚
Seau choco 1l;548;175;250;unit‚
Seau village Beco 15l;92;440;500;unit‚
Sechoir a linge Plastica;0;11000;13000;unit‚
Siyam 1.2l;31;191,67;250;unit‚
St04 10l;33;800;950;unit‚
Super pot;1078;1453,643756;1600;unit‚
S‚choir Italplast ;18;14000;15500;unit‚
S‚choir Tp ;6;14500;15500;unit‚
TABL BISTROT PETIT PL;0;2750;3500;
TABLE BISTROT GRAND PL;4;4500;6000;unit‚
TABLE PRSTIGE PL;2;11000;15000;
TABOURET CONFORT;1;1750;2500;
Table 80 Alu;3;16500;20000;unit‚
Table Carr‚  4 Places;1;11500;13500;unit‚
Table Enfant Italplast ;2;2783;3000;unit‚
Table PL 80;1;11000;14000;unit‚
Table Petite Alu;5;3750;4500;unit‚
Table Ronde 4 places;8;10500;12500;unit‚
Table Sofa;5;7500;8000;unit‚
Table TZ01;11;8500;9000;unit‚
Tabouret Bianka;0;1750;2250;unit‚
Tabouret Choco ;0;800;1000;unit‚
Tabouret Tr‚sor ;5;1000;1500;unit‚
Tamis Grand ;199;416,67;600;unit‚
Tamis Petit ;5;333,34;400;unit‚
Tasse Jetable;4;600;750;unit‚
Transat BB ;6;800;1000;
Transparent 1l TP;0;160;300;unit‚
Transparent 2l TP;9;300;400;unit‚
Transparent 3l TP;5;375;500;unit‚
Transparent 5l;5;550;700;unit‚
Transparent 7l TP;2;675;800;unit‚
Vase Grand ;190;263,54;325;unit‚
Vase Petit ;260;175,69444;225;unit‚
Vase Prince ;5;650;750;unit‚
Vase noire 10l;9;960;1100;unit‚
Vases noires 5l;31;458,34;500;unit‚
Verre l‚gance ;15;229,17;300;unit‚
Verre … th‚ ;496;79,75;83,34;unit‚
Yasmina 10l;386;438;500;unit‚
Yasmina 20l;0;700;800;unit‚
Yoli Grand ;69;100;150;unit‚
Zebra 1l;71;132,92;150;unit‚
Z‚bra 0.4l;0;75;83,34;unit‚
assiette Femme Afrique ;76;83,33;100;unit‚
baignoire Poisson ;0;22000;30000;unit‚
baignoire pliable ;1;40000;45000;unit‚
bassine Fifa 66;33;2150;2400;unit‚
bassine King;15;1000;1250;unit‚
bassine senor + couvercle;33;900;1100;unit‚
bassine senor 40 cm;23;500;700;unit‚
bassine tassaba;27;895,84;1000;unit‚
belle Alpha 1l;560;83,34;100;unit‚
boite Exellence;135;208,33;300;
boite repas 19cm;9;173,2563077;250;unit‚
bol Cereal 18 cm;16;109,375;125;unit‚
bol Pirelli ;0;91,67;108,34;unit‚
bol awoulaba;11;416,66;500;
bol chef 15;55;49,48;62,5;unit‚
bol chef 18;661;67,7;83,33;
bol classic;122;197,916;250;unit‚
bouilloire 4l Tp;0;425;500;unit‚
carafe 3.2L;3;400;500;piŠces
carafe Diana;9;290;350;unit‚
carafe Gucci;19;1125;1500;
carafe Ocean;75;333,34;500;unit‚
carafe fleur ;0;416,66;500;
chaise Etoile;0;3000;4000;unit‚
class petit;170;150;200;unit‚
coco;45;200;250;unit‚
contener 25l Italplast ;66;2000;2000;unit‚
cube 10l;41;833,34;950;unit‚
cube 20l;16;1100;1400;unit‚
cube 2l;47;333,34;400;unit‚
cube 3l;62;395,834;500;unit‚
cuvette main propre;114;1000;1500;
gobele Ocean 0.6l;107;75;91,67;unit‚
idanse 30;0;200;250;
idanse 30+ couvver;8;380,2631579;450;unit‚
idanse 40;36;350;450;unit‚
kalifa Petit ;367;366,6666667;425;unit‚
legume 20cm;109;125;150;unit‚
legume 25cm;325;167;200;unit‚
malizia;2;1500;2000;unit‚
pOT BB Mignon;233;354,17;450;unit‚
panier Classic Petit ;8;437,5;500;unit‚
papillon 10l;57;300;350;unit‚
papillons 15l;69;425;500;piŠces
passoire +couvercle ;9;585;600;unit‚
pelle Tajplast ;126;125;200;unit‚
plateau Royal;37;333,33;400;unit‚
plateau Senor;22;312,5;400;unit‚
plateau tassaba;2;520,83;700;unit‚
poubelle 27l ok;9;2397,0834;2750;unit‚
poubelle 60 Ok;7;4491,67;5000;Litre
prestige 10l;261;400;500;unit‚
prestige 20l;75;775;850;unit‚
prestige 4l;415;225;250;unit‚
rangement 3l;14;375;450;unit‚
seau Aigle 6l;246;325;450;unit‚
seau Mama 15l;133;380;500;unit‚
seau Universel 5l;29;500;600;
seau aigle 10l;2;450;500;
seau classic 16;84;800;850;unit‚
seau tendance 1l;8;166,67;250;unit‚
seau tendance 2l;5;275;350;unit‚
s‚choir Ifp;2;11000;11500;unit‚
tamtam 15l;339;450;500;unit‚
tasse choco;83;291,67;350;unit‚
tasse eva;586;166,67;200;unit‚
transparent 10l TP;32;850;1000;unit‚
vase village ;0;270,83;400;unit‚
verre Gucci;40;458,34;500;unit‚
verre Lyla;6;100;100;unit‚
verre extra;276;70,834;125;unit‚
village 15l;0;380;450;unit‚
yoli petit ;121;50;75;unit‚
gouttoir Infini ;0;1700;2000;unit‚
tagŠre Mini;0;100;200;unit‚
tagŠre Ok;6;5500;6000;unit‚
tagŠre Triangle Allplast ;1;1500;1500;unit‚
tagŠre l‚gance ;74;2750;3000;unit‚
